Site,Year,Analyte ,PAH,Percent
Bayshore,2019,"Indeno[1,2,3-cd]pyrene",0.005,5.882352941
Black Beach,2019,"Indeno[1,2,3-cd]pyrene",0.01,5.882352941
Black Beach,2019,"Indeno[1,2,3-cd]pyrene",0.01,5.882352941
Black Beach,2019,"Indeno[1,2,3-cd]pyrene",0.005,5
Courtenay Bay,2019,"Indeno[1,2,3-cd]pyrene",0.05,2.923976608
Courtenay Bay,2019,"Indeno[1,2,3-cd]pyrene",0.04,2.597402597
Courtenay Bay,2019,"Indeno[1,2,3-cd]pyrene",0.09,2.69058296
Digby Ferry Terminal,2019,"Indeno[1,2,3-cd]pyrene",0.01,4.347826087
Digby Ferry Terminal,2019,"Indeno[1,2,3-cd]pyrene",0.07,2.702702703
Digby Ferry Terminal,2019,"Indeno[1,2,3-cd]pyrene",0.03,3.614457831
Hazen Creek Mouth,2019,"Indeno[1,2,3-cd]pyrene",0.01,5.882352941
Hazen Creek Mouth,2019,"Indeno[1,2,3-cd]pyrene",0.01,4
Hazen Creek Mouth,2019,"Indeno[1,2,3-cd]pyrene",0.005,5.882352941
Hazen Creek Nearshore,2019,"Indeno[1,2,3-cd]pyrene",0.01,5.882352941
Hazen Creek Nearshore,2019,"Indeno[1,2,3-cd]pyrene",0.01,5
Hazen Creek Nearshore,2019,"Indeno[1,2,3-cd]pyrene",0.005,5.882352941
Inner Harbour,2019,"Indeno[1,2,3-cd]pyrene",0.01,2.5
Inner Harbour,2019,"Indeno[1,2,3-cd]pyrene",0.02,5.263157895
Inner Harbour,2019,"Indeno[1,2,3-cd]pyrene",0.02,3.96039604
Little River,2019,"Indeno[1,2,3-cd]pyrene",0.05,3.816793893
Little River,2019,"Indeno[1,2,3-cd]pyrene",0.02,1.801801802
Little River,2019,"Indeno[1,2,3-cd]pyrene",0.19,3.140495868
Marsh Creek WS DS,2019,"Indeno[1,2,3-cd]pyrene",0.66,4.700854701
Marsh Creek WS DS,2019,"Indeno[1,2,3-cd]pyrene",2.7,1.613674396
Marsh Creek WS DS,2019,"Indeno[1,2,3-cd]pyrene",1.1,3.204194582
Mispec,2019,"Indeno[1,2,3-cd]pyrene",0.01,5.882352941
Mispec,2019,"Indeno[1,2,3-cd]pyrene",0.01,5.882352941
Mispec,2019,"Indeno[1,2,3-cd]pyrene",0.005,5.882352941
Saints Rest Beach,2019,"Indeno[1,2,3-cd]pyrene",0.01,5.882352941
Saints Rest Beach,2019,"Indeno[1,2,3-cd]pyrene",0.01,5.882352941
Saints Rest Beach,2019,"Indeno[1,2,3-cd]pyrene",0.005,5.882352941
Spar Cove,2019,"Indeno[1,2,3-cd]pyrene",0.14,3.888888889
Spar Cove,2019,"Indeno[1,2,3-cd]pyrene",0.87,5.330882353
Tin Can Beach,2019,"Indeno[1,2,3-cd]pyrene",0.08,3.80952381
Tin Can Beach,2019,"Indeno[1,2,3-cd]pyrene",0.06,4.081632653
Tin Can Beach,2019,"Indeno[1,2,3-cd]pyrene",0.12,5.700712589
Bayshore,2019,Naphthalene,0.01,5.882352941
Bayshore,2019,Naphthalene,0.01,5.882352941
Bayshore,2019,Naphthalene,0.005,5.882352941
Black Beach,2019,Naphthalene,0.01,5.882352941
Black Beach,2019,Naphthalene,0.01,5.882352941
Black Beach,2019,Naphthalene,0.005,5
Courtenay Bay,2019,Naphthalene,0.01,0.584795322
Courtenay Bay,2019,Naphthalene,0.02,1.298701299
Courtenay Bay,2019,Naphthalene,0.02,0.597907324
Digby Ferry Terminal,2019,Naphthalene,0.01,4.347826087
Digby Ferry Terminal,2019,Naphthalene,0.07,2.702702703
Digby Ferry Terminal,2019,Naphthalene,0.03,3.614457831
Hazen Creek Mouth,2019,Naphthalene,0.01,5.882352941
Hazen Creek Mouth,2019,Naphthalene,0.01,4
Hazen Creek Mouth,2019,Naphthalene,0.005,5.882352941
Hazen Creek Nearshore,2019,Naphthalene,0.01,5.882352941
Hazen Creek Nearshore,2019,Naphthalene,0.01,5
Hazen Creek Nearshore,2019,Naphthalene,0.005,5.882352941
Inner Harbour,2019,Naphthalene,0.01,2.5
Inner Harbour,2019,Naphthalene,0.01,2.631578947
Inner Harbour,2019,Naphthalene,0.005,0.99009901
Little River,2019,Naphthalene,0.05,3.816793893
Little River,2019,Naphthalene,0.02,1.801801802
Little River,2019,Naphthalene,0.02,0.330578512
Marsh Creek WS DS,2019,Naphthalene,0.11,0.783475783
Marsh Creek WS DS,2019,Naphthalene,0.33,0.197226871
Marsh Creek WS DS,2019,Naphthalene,0.2,0.582580833
Mispec,2019,Naphthalene,0.01,5.882352941
Mispec,2019,Naphthalene,0.01,5.882352941
Mispec,2019,Naphthalene,0.005,5.882352941
Saints Rest Beach,2019,Naphthalene,0.01,5.882352941
Saints Rest Beach,2019,Naphthalene,0.01,5.882352941
Saints Rest Beach,2019,Naphthalene,0.005,5.882352941
Spar Cove,2019,Naphthalene,0.02,0.555555556
Spar Cove,2019,Naphthalene,0.06,0.367647059
Tin Can Beach,2019,Naphthalene,0.03,1.428571429
Tin Can Beach,2019,Naphthalene,0.05,3.401360544
Tin Can Beach,2019,Naphthalene,0.02,0.950118765
Bayshore,2019,Phenanthrene,0.01,5.882352941
Bayshore,2019,Phenanthrene,0.01,5.882352941
Bayshore,2019,Phenanthrene,0.005,5.882352941
Black Beach,2019,Phenanthrene,0.01,5.882352941
Black Beach,2019,Phenanthrene,0.01,5.882352941
Black Beach,2019,Phenanthrene,0.01,10
Courtenay Bay,2019,Phenanthrene,0.17,9.941520468
Courtenay Bay,2019,Phenanthrene,0.17,11.03896104
Courtenay Bay,2019,Phenanthrene,0.83,24.81315396
Digby Ferry Terminal,2019,Phenanthrene,0.02,8.695652174
Digby Ferry Terminal,2019,Phenanthrene,0.49,18.91891892
Digby Ferry Terminal,2019,Phenanthrene,0.11,13.25301205
Hazen Creek Mouth,2019,Phenanthrene,0.01,5.882352941
Hazen Creek Mouth,2019,Phenanthrene,0.01,4
Hazen Creek Mouth,2019,Phenanthrene,0.005,5.882352941
Hazen Creek Nearshore,2019,Phenanthrene,0.01,5.882352941
Hazen Creek Nearshore,2019,Phenanthrene,0.02,10
Hazen Creek Nearshore,2019,Phenanthrene,0.005,5.882352941
Inner Harbour,2019,Phenanthrene,0.04,10
Inner Harbour,2019,Phenanthrene,0.04,10.52631579
Inner Harbour,2019,Phenanthrene,0.04,7.920792079
Little River,2019,Phenanthrene,0.05,3.816793893
Little River,2019,Phenanthrene,0.04,3.603603604
Little River,2019,Phenanthrene,0.06,0.991735537
Marsh Creek WS DS,2019,Phenanthrene,1.7,12.10826211
Marsh Creek WS DS,2019,Phenanthrene,5,2.988285919
Marsh Creek WS DS,2019,Phenanthrene,5.8,16.89484416
Mispec,2019,Phenanthrene,0.01,5.882352941
Mispec,2019,Phenanthrene,0.01,5.882352941
Mispec,2019,Phenanthrene,0.005,5.882352941
Saints Rest Beach,2019,Phenanthrene,0.01,5.882352941
Saints Rest Beach,2019,Phenanthrene,0.01,5.882352941
Saints Rest Beach,2019,Phenanthrene,0.005,5.882352941
Spar Cove,2019,Phenanthrene,0.34,9.444444444
Spar Cove,2019,Phenanthrene,1.3,7.965686275
Tin Can Beach,2019,Phenanthrene,0.26,12.38095238
Tin Can Beach,2019,Phenanthrene,0.13,8.843537415
Tin Can Beach,2019,Phenanthrene,0.14,6.650831354
Bayshore,2019,Pyrene,0.01,5.882352941
Bayshore,2019,Pyrene,0.01,5.882352941
Bayshore,2019,Pyrene,0.005,5.882352941
Black Beach,2019,Pyrene,0.01,5.882352941
Black Beach,2019,Pyrene,0.01,5.882352941
Black Beach,2019,Pyrene,0.01,10
Courtenay Bay,2019,Pyrene,0.27,15.78947368
Courtenay Bay,2019,Pyrene,0.23,14.93506494
Courtenay Bay,2019,Pyrene,0.25,7.473841555
Digby Ferry Terminal,2019,Pyrene,0.02,8.695652174
Digby Ferry Terminal,2019,Pyrene,0.34,13.12741313
Digby Ferry Terminal,2019,Pyrene,0.11,13.25301205
Hazen Creek Mouth,2019,Pyrene,0.01,5.882352941
Hazen Creek Mouth,2019,Pyrene,0.02,8
Hazen Creek Mouth,2019,Pyrene,0.005,5.882352941
Hazen Creek Nearshore,2019,Pyrene,0.01,5.882352941
Hazen Creek Nearshore,2019,Pyrene,0.02,10
Hazen Creek Nearshore,2019,Pyrene,0.005,5.882352941
Inner Harbour,2019,Pyrene,0.05,12.5
Inner Harbour,2019,Pyrene,0.05,13.15789474
Inner Harbour,2019,Pyrene,0.07,13.86138614
Little River,2019,Pyrene,0.3,22.90076336
Little River,2019,Pyrene,0.27,24.32432432
Little River,2019,Pyrene,1.2,19.83471074
Marsh Creek WS DS,2019,Pyrene,1.7,12.10826211
Marsh Creek WS DS,2019,Pyrene,36,21.51565862
Marsh Creek WS DS,2019,Pyrene,3,8.738712496
Mispec,2019,Pyrene,0.01,5.882352941
Mispec,2019,Pyrene,0.01,5.882352941
Mispec,2019,Pyrene,0.005,5.882352941
Saints Rest Beach,2019,Pyrene,0.01,5.882352941
Saints Rest Beach,2019,Pyrene,0.01,5.882352941
Saints Rest Beach,2019,Pyrene,0.005,5.882352941
Spar Cove,2019,Pyrene,0.57,15.83333333
Spar Cove,2019,Pyrene,2.4,14.70588235
Tin Can Beach,2019,Pyrene,0.29,13.80952381
Tin Can Beach,2019,Pyrene,0.23,15.6462585
Tin Can Beach,2019,Pyrene,0.28,13.30166271
Bayshore,2019,Total PAH,0.17,100
Bayshore,2019,Total PAH,0.17,100
Bayshore,2019,Total PAH,0.085,100
Black Beach,2019,Total PAH,0.17,100
Black Beach,2019,Total PAH,0.17,100
Black Beach,2019,Total PAH,0.1,100
Courtenay Bay,2019,Total PAH,1.71,100
Courtenay Bay,2019,Total PAH,1.54,100
Courtenay Bay,2019,Total PAH,3.345,100
Digby Ferry Terminal,2019,Total PAH,0.23,100
Digby Ferry Terminal,2019,Total PAH,2.59,100
Digby Ferry Terminal,2019,Total PAH,0.83,100
Hazen Creek Mouth,2019,Total PAH,0.17,100
Hazen Creek Mouth,2019,Total PAH,0.25,100
Hazen Creek Mouth,2019,Total PAH,0.085,100
Hazen Creek Nearshore,2019,Total PAH,0.17,100
Hazen Creek Nearshore,2019,Total PAH,0.2,100
Hazen Creek Nearshore,2019,Total PAH,0.085,100
Inner Harbour,2019,Total PAH,0.4,100
Inner Harbour,2019,Total PAH,0.38,100
Inner Harbour,2019,Total PAH,0.505,100
Little River,2019,Total PAH,1.31,100
Little River,2019,Total PAH,1.11,100
Little River,2019,Total PAH,6.05,100
Marsh Creek WS DS,2019,Total PAH,14.04,100
Marsh Creek WS DS,2019,Total PAH,167.32,100
Marsh Creek WS DS,2019,Total PAH,34.33,100
Mispec,2019,Total PAH,0.17,100
Mispec,2019,Total PAH,0.17,100
Mispec,2019,Total PAH,0.085,100
Saints Rest Beach,2019,Total PAH,0.17,100
Saints Rest Beach,2019,Total PAH,0.17,100
Saints Rest Beach,2019,Total PAH,0.085,100
Spar Cove,2019,Total PAH,3.6,100
Spar Cove,2019,Total PAH,16.32,100
Tin Can Beach,2019,Total PAH,2.1,100
Tin Can Beach,2019,Total PAH,1.47,100
Tin Can Beach,2019,Total PAH,2.105,100
Bayshore,2020,Acenaphthene,0.005,5.882352941
Bayshore,2020,Acenaphthene,0.005,5.882352941
Bayshore,2020,Acenaphthene,0.005,5.882352941
Black Beach,2020,Acenaphthene,0.005,5.882352941
Black Beach,2020,Acenaphthene,0.005,5.882352941
Black Beach,2020,Acenaphthene,0.005,5.882352941
Courtenay Bay,2020,Acenaphthene,0.005,0.36101083
Courtenay Bay,2020,Acenaphthene,0.02,0.894854586
Courtenay Bay,2020,Acenaphthene,0.06,1.2
Digby Ferry Terminal,2020,Acenaphthene,0.01,0.757575758
Digby Ferry Terminal,2020,Acenaphthene,0.005,1.01010101
Digby Ferry Terminal,2020,Acenaphthene,0.11,2.240325866
Hazen Creek Mouth,2020,Acenaphthene,0.005,5.882352941
Hazen Creek Mouth,2020,Acenaphthene,0.005,5.882352941
Hazen Creek Mouth,2020,Acenaphthene,0.005,5.882352941
Hazen Creek Nearshore,2020,Acenaphthene,0.005,2.5
Hazen Creek Nearshore,2020,Acenaphthene,0.005,5.882352941
Hazen Creek Nearshore,2020,Acenaphthene,0.005,2.380952381
Inner Harbour,2020,Acenaphthene,0.005,1.075268817
Inner Harbour,2020,Acenaphthene,0.005,1.298701299
Inner Harbour,2020,Acenaphthene,0.005,0.775193798
Little River,2020,Acenaphthene,0.03,0.727272727
Little River,2020,Acenaphthene,0.005,0.347222222
Little River,2020,Acenaphthene,0.01,0.514138817
Marsh Creek WS DS,2020,Acenaphthene,0.09,0.762711864
Marsh Creek WS DS,2020,Acenaphthene,0.75,1.829268293
Marsh Creek WS DS,2020,Acenaphthene,2.5,1.748985588
Mispec,2020,Acenaphthene,0.005,5.882352941
Mispec,2020,Acenaphthene,0.005,5.882352941
Mispec,2020,Acenaphthene,0.005,5.882352941
Saints Rest Beach,2020,Acenaphthene,0.005,5.882352941
Saints Rest Beach,2020,Acenaphthene,0.005,5.882352941
Saints Rest Beach,2020,Acenaphthene,0.005,5.882352941
Spar Cove,2020,Acenaphthene,0.06,0.902255639
Spar Cove,2020,Acenaphthene,0.03,0.561797753
Spar Cove,2020,Acenaphthene,0.06,0.071208165
Tin Can Beach,2020,Acenaphthene,0.01,0.317460317
Tin Can Beach,2020,Acenaphthene,0.01,0.264550265
Tin Can Beach,2020,Acenaphthene,0.09,1.272984441
Bayshore,2020,Acenaphthylene,0.005,5.882352941
Bayshore,2020,Acenaphthylene,0.005,5.882352941
Bayshore,2020,Acenaphthylene,0.005,5.882352941
Black Beach,2020,Acenaphthylene,0.005,5.882352941
Black Beach,2020,Acenaphthylene,0.005,5.882352941
Black Beach,2020,Acenaphthylene,0.005,5.882352941
Courtenay Bay,2020,Acenaphthylene,0.005,0.36101083
Courtenay Bay,2020,Acenaphthylene,0.005,0.223713647
Courtenay Bay,2020,Acenaphthylene,0.01,0.2
Digby Ferry Terminal,2020,Acenaphthylene,0.01,0.757575758
Digby Ferry Terminal,2020,Acenaphthylene,0.005,1.01010101
Digby Ferry Terminal,2020,Acenaphthylene,0.01,0.203665988
Hazen Creek Mouth,2020,Acenaphthylene,0.005,5.882352941
Hazen Creek Mouth,2020,Acenaphthylene,0.005,5.882352941
Hazen Creek Mouth,2020,Acenaphthylene,0.005,5.882352941
Hazen Creek Nearshore,2020,Acenaphthylene,0.005,2.5
Hazen Creek Nearshore,2020,Acenaphthylene,0.005,5.882352941
Hazen Creek Nearshore,2020,Acenaphthylene,0.005,2.380952381
Inner Harbour,2020,Acenaphthylene,0.005,1.075268817
Inner Harbour,2020,Acenaphthylene,0.005,1.298701299
Inner Harbour,2020,Acenaphthylene,0.005,0.775193798
Little River,2020,Acenaphthylene,0.005,0.121212121
Little River,2020,Acenaphthylene,0.005,0.347222222
Little River,2020,Acenaphthylene,0.005,0.257069409
Marsh Creek WS DS,2020,Acenaphthylene,0.06,0.508474576
Marsh Creek WS DS,2020,Acenaphthylene,0.15,0.365853659
Marsh Creek WS DS,2020,Acenaphthylene,0.44,0.307821464
Mispec,2020,Acenaphthylene,0.005,5.882352941
Mispec,2020,Acenaphthylene,0.005,5.882352941
Mispec,2020,Acenaphthylene,0.005,5.882352941
Saints Rest Beach,2020,Acenaphthylene,0.005,5.882352941
Saints Rest Beach,2020,Acenaphthylene,0.005,5.882352941
Saints Rest Beach,2020,Acenaphthylene,0.005,5.882352941
Spar Cove,2020,Acenaphthylene,0.03,0.45112782
Spar Cove,2020,Acenaphthylene,0.04,0.74906367
Spar Cove,2020,Acenaphthylene,0.04,0.04747211
Tin Can Beach,2020,Acenaphthylene,0.04,1.26984127
Tin Can Beach,2020,Acenaphthylene,0.04,1.058201058
Tin Can Beach,2020,Acenaphthylene,0.04,0.565770863
Bayshore,2020,Anthracene,0.005,5.882352941
Bayshore,2020,Anthracene,0.005,5.882352941
Bayshore,2020,Anthracene,0.005,5.882352941
Black Beach,2020,Anthracene,0.005,5.882352941
Black Beach,2020,Anthracene,0.005,5.882352941
Black Beach,2020,Anthracene,0.005,5.882352941
Courtenay Bay,2020,Anthracene,0.06,4.332129964
Courtenay Bay,2020,Anthracene,0.12,5.369127517
Courtenay Bay,2020,Anthracene,0.38,7.6
Digby Ferry Terminal,2020,Anthracene,0.05,3.787878788
Digby Ferry Terminal,2020,Anthracene,0.02,4.04040404
Digby Ferry Terminal,2020,Anthracene,0.28,5.702647658
Hazen Creek Mouth,2020,Anthracene,0.005,5.882352941
Hazen Creek Mouth,2020,Anthracene,0.005,5.882352941
Hazen Creek Mouth,2020,Anthracene,0.005,5.882352941
Hazen Creek Nearshore,2020,Anthracene,0.005,2.5
Hazen Creek Nearshore,2020,Anthracene,0.005,5.882352941
Hazen Creek Nearshore,2020,Anthracene,0.005,2.380952381
Inner Harbour,2020,Anthracene,0.01,2.150537634
Inner Harbour,2020,Anthracene,0.01,2.597402597
Inner Harbour,2020,Anthracene,0.02,3.100775194
Little River,2020,Anthracene,0.17,4.121212121
Little River,2020,Anthracene,0.04,2.777777778
Little River,2020,Anthracene,0.06,3.084832905
Marsh Creek WS DS,2020,Anthracene,0.39,3.305084746
Marsh Creek WS DS,2020,Anthracene,1.9,4.634146341
Marsh Creek WS DS,2020,Anthracene,8.5,5.946551
Mispec,2020,Anthracene,0.005,5.882352941
Mispec,2020,Anthracene,0.005,5.882352941
Mispec,2020,Anthracene,0.005,5.882352941
Saints Rest Beach,2020,Anthracene,0.005,5.882352941
Saints Rest Beach,2020,Anthracene,0.005,5.882352941
Saints Rest Beach,2020,Anthracene,0.005,5.882352941
Spar Cove,2020,Anthracene,0.23,3.458646617
Spar Cove,2020,Anthracene,0.13,2.434456929
Spar Cove,2020,Anthracene,2,2.373605507
Tin Can Beach,2020,Anthracene,0.07,2.222222222
Tin Can Beach,2020,Anthracene,0.08,2.116402116
Tin Can Beach,2020,Anthracene,0.27,3.818953324
Bayshore,2020,Benz[a]anthracene,0.005,5.882352941
Bayshore,2020,Benz[a]anthracene,0.005,5.882352941
Bayshore,2020,Benz[a]anthracene,0.005,5.882352941
Black Beach,2020,Benz[a]anthracene,0.005,5.882352941
Black Beach,2020,Benz[a]anthracene,0.005,5.882352941
Black Beach,2020,Benz[a]anthracene,0.005,5.882352941
Courtenay Bay,2020,Benz[a]anthracene,0.11,7.942238267
Courtenay Bay,2020,Benz[a]anthracene,0.23,10.29082774
Courtenay Bay,2020,Benz[a]anthracene,0.36,7.2
Digby Ferry Terminal,2020,Benz[a]anthracene,0.11,8.333333333
Digby Ferry Terminal,2020,Benz[a]anthracene,0.04,8.080808081
Digby Ferry Terminal,2020,Benz[a]anthracene,0.38,7.739307536
Hazen Creek Mouth,2020,Benz[a]anthracene,0.005,5.882352941
Hazen Creek Mouth,2020,Benz[a]anthracene,0.005,5.882352941
Hazen Creek Mouth,2020,Benz[a]anthracene,0.005,5.882352941
Hazen Creek Nearshore,2020,Benz[a]anthracene,0.01,5
Hazen Creek Nearshore,2020,Benz[a]anthracene,0.005,5.882352941
Hazen Creek Nearshore,2020,Benz[a]anthracene,0.02,9.523809524
Inner Harbour,2020,Benz[a]anthracene,0.04,8.602150538
Inner Harbour,2020,Benz[a]anthracene,0.03,7.792207792
Inner Harbour,2020,Benz[a]anthracene,0.05,7.751937984
Little River,2020,Benz[a]anthracene,0.23,5.575757576
Little River,2020,Benz[a]anthracene,0.1,6.944444444
Little River,2020,Benz[a]anthracene,0.17,8.740359897
Marsh Creek WS DS,2020,Benz[a]anthracene,0.96,8.13559322
Marsh Creek WS DS,2020,Benz[a]anthracene,3.1,7.56097561
Marsh Creek WS DS,2020,Benz[a]anthracene,10,6.995942353
Mispec,2020,Benz[a]anthracene,0.005,5.882352941
Mispec,2020,Benz[a]anthracene,0.005,5.882352941
Mispec,2020,Benz[a]anthracene,0.005,5.882352941
Saints Rest Beach,2020,Benz[a]anthracene,0.005,5.882352941
Saints Rest Beach,2020,Benz[a]anthracene,0.005,5.882352941
Saints Rest Beach,2020,Benz[a]anthracene,0.005,5.882352941
Spar Cove,2020,Benz[a]anthracene,0.58,8.721804511
Spar Cove,2020,Benz[a]anthracene,0.45,8.426966292
Spar Cove,2020,Benz[a]anthracene,5.2,6.171374318
Tin Can Beach,2020,Benz[a]anthracene,0.25,7.936507937
Tin Can Beach,2020,Benz[a]anthracene,0.32,8.465608466
Tin Can Beach,2020,Benz[a]anthracene,0.56,7.920792079
Bayshore,2020,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Bayshore,2020,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Bayshore,2020,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Black Beach,2020,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Black Beach,2020,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Black Beach,2020,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Courtenay Bay,2020,"Benzo(g,h,i)perylene-D12",0.05,3.610108303
Courtenay Bay,2020,"Benzo(g,h,i)perylene-D12",0.07,3.131991051
Courtenay Bay,2020,"Benzo(g,h,i)perylene-D12",0.17,3.4
Digby Ferry Terminal,2020,"Benzo(g,h,i)perylene-D12",0.04,3.03030303
Digby Ferry Terminal,2020,"Benzo(g,h,i)perylene-D12",0.02,4.04040404
Digby Ferry Terminal,2020,"Benzo(g,h,i)perylene-D12",0.12,2.443991853
Hazen Creek Mouth,2020,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Hazen Creek Mouth,2020,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Hazen Creek Mouth,2020,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Hazen Creek Nearshore,2020,"Benzo(g,h,i)perylene-D12",0.005,2.5
Hazen Creek Nearshore,2020,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Hazen Creek Nearshore,2020,"Benzo(g,h,i)perylene-D12",0.005,2.380952381
Inner Harbour,2020,"Benzo(g,h,i)perylene-D12",0.02,4.301075269
Inner Harbour,2020,"Benzo(g,h,i)perylene-D12",0.02,5.194805195
Inner Harbour,2020,"Benzo(g,h,i)perylene-D12",0.04,6.201550388
Little River,2020,"Benzo(g,h,i)perylene-D12",0.11,2.666666667
Little River,2020,"Benzo(g,h,i)perylene-D12",0.12,8.333333333
Little River,2020,"Benzo(g,h,i)perylene-D12",0.09,4.627249357
Marsh Creek WS DS,2020,"Benzo(g,h,i)perylene-D12",0.53,4.491525424
Marsh Creek WS DS,2020,"Benzo(g,h,i)perylene-D12",1.2,2.926829268
Marsh Creek WS DS,2020,"Benzo(g,h,i)perylene-D12",3.8,2.658458094
Mispec,2020,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Mispec,2020,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Mispec,2020,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Saints Rest Beach,2020,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Saints Rest Beach,2020,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Saints Rest Beach,2020,"Benzo(g,h,i)perylene-D12",0.005,5.882352941
Spar Cove,2020,"Benzo(g,h,i)perylene-D12",0.21,3.157894737
Spar Cove,2020,"Benzo(g,h,i)perylene-D12",0.22,4.119850187
Spar Cove,2020,"Benzo(g,h,i)perylene-D12",0.38,0.450985046
Tin Can Beach,2020,"Benzo(g,h,i)perylene-D12",0.14,4.444444444
Tin Can Beach,2020,"Benzo(g,h,i)perylene-D12",0.2,5.291005291
Tin Can Beach,2020,"Benzo(g,h,i)perylene-D12",0.31,4.384724187
Bayshore,2020,Benzo[a]pyrene,0.005,5.882352941
Bayshore,2020,Benzo[a]pyrene,0.005,5.882352941
Bayshore,2020,Benzo[a]pyrene,0.005,5.882352941
Black Beach,2020,Benzo[a]pyrene,0.005,5.882352941
Black Beach,2020,Benzo[a]pyrene,0.005,5.882352941
Black Beach,2020,Benzo[a]pyrene,0.005,5.882352941
Courtenay Bay,2020,Benzo[a]pyrene,0.09,6.498194946
Courtenay Bay,2020,Benzo[a]pyrene,0.13,5.81655481
Courtenay Bay,2020,Benzo[a]pyrene,0.34,6.8
Digby Ferry Terminal,2020,Benzo[a]pyrene,0.08,6.060606061
Digby Ferry Terminal,2020,Benzo[a]pyrene,0.04,8.080808081
Digby Ferry Terminal,2020,Benzo[a]pyrene,0.3,6.109979633
Hazen Creek Mouth,2020,Benzo[a]pyrene,0.005,5.882352941
Hazen Creek Mouth,2020,Benzo[a]pyrene,0.005,5.882352941
Hazen Creek Mouth,2020,Benzo[a]pyrene,0.005,5.882352941
Hazen Creek Nearshore,2020,Benzo[a]pyrene,0.01,5
Hazen Creek Nearshore,2020,Benzo[a]pyrene,0.005,5.882352941
Hazen Creek Nearshore,2020,Benzo[a]pyrene,0.01,4.761904762
Inner Harbour,2020,Benzo[a]pyrene,0.03,6.451612903
Inner Harbour,2020,Benzo[a]pyrene,0.03,7.792207792
Inner Harbour,2020,Benzo[a]pyrene,0.05,7.751937984
Little River,2020,Benzo[a]pyrene,0.18,4.363636364
Little River,2020,Benzo[a]pyrene,0.09,6.25
Little River,2020,Benzo[a]pyrene,0.16,8.22622108
Marsh Creek WS DS,2020,Benzo[a]pyrene,0.83,7.033898305
Marsh Creek WS DS,2020,Benzo[a]pyrene,2.5,6.097560976
Marsh Creek WS DS,2020,Benzo[a]pyrene,8.7,6.086469847
Mispec,2020,Benzo[a]pyrene,0.005,5.882352941
Mispec,2020,Benzo[a]pyrene,0.005,5.882352941
Mispec,2020,Benzo[a]pyrene,0.005,5.882352941
Saints Rest Beach,2020,Benzo[a]pyrene,0.005,5.882352941
Saints Rest Beach,2020,Benzo[a]pyrene,0.005,5.882352941
Saints Rest Beach,2020,Benzo[a]pyrene,0.005,5.882352941
Spar Cove,2020,Benzo[a]pyrene,0.42,6.315789474
Spar Cove,2020,Benzo[a]pyrene,0.43,8.052434457
Spar Cove,2020,Benzo[a]pyrene,1.5,1.78020413
Tin Can Beach,2020,Benzo[a]pyrene,0.27,8.571428571
Tin Can Beach,2020,Benzo[a]pyrene,0.37,9.788359788
Tin Can Beach,2020,Benzo[a]pyrene,0.6,8.486562942
Bayshore,2020,"Benzo[b,j]fluoranthene",0.005,5.882352941
Bayshore,2020,"Benzo[b,j]fluoranthene",0.005,5.882352941
Bayshore,2020,"Benzo[b,j]fluoranthene",0.005,5.882352941
Black Beach,2020,"Benzo[b,j]fluoranthene",0.005,5.882352941
Black Beach,2020,"Benzo[b,j]fluoranthene",0.005,5.882352941
Black Beach,2020,"Benzo[b,j]fluoranthene",0.005,5.882352941
Courtenay Bay,2020,"Benzo[b,j]fluoranthene",0.16,11.55234657
Courtenay Bay,2020,"Benzo[b,j]fluoranthene",0.2,8.948545861
Courtenay Bay,2020,"Benzo[b,j]fluoranthene",0.41,8.2
Digby Ferry Terminal,2020,"Benzo[b,j]fluoranthene",0.13,9.848484848
Digby Ferry Terminal,2020,"Benzo[b,j]fluoranthene",0.05,10.1010101
Digby Ferry Terminal,2020,"Benzo[b,j]fluoranthene",0.36,7.33197556
Hazen Creek Mouth,2020,"Benzo[b,j]fluoranthene",0.005,5.882352941
Hazen Creek Mouth,2020,"Benzo[b,j]fluoranthene",0.005,5.882352941
Hazen Creek Mouth,2020,"Benzo[b,j]fluoranthene",0.005,5.882352941
Hazen Creek Nearshore,2020,"Benzo[b,j]fluoranthene",0.02,10
Hazen Creek Nearshore,2020,"Benzo[b,j]fluoranthene",0.005,5.882352941
Hazen Creek Nearshore,2020,"Benzo[b,j]fluoranthene",0.02,9.523809524
Inner Harbour,2020,"Benzo[b,j]fluoranthene",0.06,12.90322581
