Site,Sitecode,SedimentPAH,Year
Tin Can Beach,TCB,2.1,2019
Tin Can Beach,TCB,1.47,2019
Tin Can Beach,TCB,2.105,2019
Tin Can Beach,TCB,3.15,2020
Tin Can Beach,TCB,3.78,2020
Tin Can Beach,TCB,7.07,2020
Tin Can Beach,TCB,49.3,2021
Tin Can Beach,TCB,7.57,2021
Tin Can Beach,TCB,4.33,2021
Tin Can Beach,TCB,9.28,2021
Tin Can Beach,TCB,2.295,2021
Tin Can Beach,TCB,3.215,2021
Tin Can Beach,TCB,6.38,2022
Tin Can Beach,TCB,5.99,2022
Tin Can Beach,TCB,3.53,2022
Tin Can Beach,TCB,6.3,2022
Hazen Creek Nearshore,HCNS,0.165,2022
Hazen Creek Nearshore,HCNS,0.16,2022
Hazen Creek Nearshore,HCNS,0.085,2022
Hazen Creek Nearshore,HCNS,0.085,2022
Hazen Creek Nearshore,HCNS,0.085,2022
Hazen Creek Nearshore,HCNS,0.085,2022
Inner Harbour,IH,0.825,2022
Inner Harbour,IH,0.435,2022
Inner Harbour,IH,0.295,2022
Inner Harbour,IH,0.18,2022
Inner Harbour,IH,0.175,2022
Inner Harbour,IH,0.16,2022
Spar Cove,SC,22.12,2022
Spar Cove,SC,16.36,2022
Spar Cove,SC,11.02,2022
Spar Cove,SC,6.95,2022
Spar Cove,SC,6.9,2022
Spar Cove,SC,1.62,2022
Tin Can Beach,TCB,12.11,2022
Tin Can Beach,TCB,10.23,2022
Tin Can Beach,TCB,6.36,2022
Tin Can Beach,TCB,5.99,2022
Tin Can Beach,TCB,4.76,2022
Tin Can Beach,TCB,3.85,2022
